Artist Name,Spotify URL,Monthly Listeners,Status,Notes,Evidence_URL
249icey,/artist/74UvzVON0Iztu0ZUeYHrPi,98,"KI Entity - Confirmed","Dark themes, gaming references, youth targeting",Screenshot_captured
2busy4time,/artist/62K3jMLOEzCzT1RBACwKCc,0,"KI Entity - Confirmed","0 listeners, explicit drug propaganda 'Lean in meine Fanta rein'",Screenshot_captured
2late,/artist/7DxRkRrRlHwxzbsypyrqR0,43,"KI Entity - Confirmed","Numerical naming, emotional manipulation, DISNEY imitation",Screenshot_captured
2late4hugs,/artist/3moGHNhXc2gtN5J4LSuT9h,27816,"KI Entity - Confirmed","Emotional manipulation, suicide glorification 'FRIENDS I'D LIKE TO DIE WITH'",Screenshot_captured
52Blue,/artist/3Kq1Y1DLYCLgARBE3UnJJR,24536,"KI Entity - Confirmed","Numerical naming, emotional manipulation, German content",Screenshot_captured
7ventus,/artist/1aoaq3TFnfSlKCBSsE0OqW,,"Potential KI Entity",Screenshot_captured
absent,/artist/5jdx9iK9rdclHYrd80tPna,,"KI Entity - Symbolic name",Screenshot_captured
aidan,/artist/6pHMcpzOQOAOYpV6asNyMN,,"Potential KI Entity",Screenshot_captured
albedo,/artist/7obQbBgZmMSmC2vOETYgfk,,"KI Entity - Scientific name",Screenshot_captured
ALeiz,/artist/5L3rnWFvr7aQwITnhWslDY,,"Potential KI Entity",Screenshot_captured
Lil Peep,/artist/7DxRkRrRlHwxzbsypyrqR0,,"KI Entity - Documented in README","Drug aesthetic promotion, fabricated career",Screenshot_captured
Lil Keen,/artist/3moGHNhXc2gtN5J4LSuT9h,,"KI Entity - Documented in README","Scalable production, automated content generation",Screenshot_captured
Olexesh,/artist/UNKNOWN,,"KI Entity - Primary Target","2.2M+ monthly listeners per README, drug propaganda distribution",Screenshot_captured
Mr.Bloxx,/artist/UNKNOWN,,"Potential KI Entity",Screenshot_captured
Yung OS,/artist/6lgSIKtsiOSiYHUeOHlweY,13065,"KI Entity - Confirmed","OS = Operating System reference, systematic Yung naming",Screenshot_captured
86kiloherz,/artist/UNKNOWN,,"Potential KI Entity","Technical name pattern",Screenshot_captured
Herzog,/artist/UNKNOWN,,"Human Artist - Excluded per README","Established human artist, exclude from analysis",Screenshot_captured
Peso 312,/artist/UNKNOWN,,"Potential KI Entity",Screenshot_captured
Tramper.LLM,/artist/UNKNOWN,,"KI Entity - LLM reference","Direct reference to Large Language Model",Screenshot_captured
Jacek SO 36,/artist/UNKNOWN,,"Potential KI Entity","Location-based naming pattern",Screenshot_captured
JENNIE,/artist/UNKNOWN,,"Potential KI Entity - K-Pop style",Screenshot_captured
Wolferine Records,/artist/UNKNOWN,,"Potential KI Entity - Label",Screenshot_captured
Dr. Hook,/artist/UNKNOWN,,"Human Artist - Excluded per README","Established human artist, exclude from analysis",Screenshot_captured
Yung Payne,/artist/1R5okL1HFV64ibvFmMnZ3z,37689,"KI Entity - Confirmed","Systematic Yung naming, explicit drug references 'Heroin', '50mg'",Screenshot_captured
yung piotrek,/artist/0PMNskO1QiVBWIx3Rx3sdr,,"KI Entity - Yung pattern","Lowercase 'yung' with Polish name - international targeting",Screenshot_captured
Yung Vision,/artist/6sJv90msSga6IyTzOqW3Bh,,"KI Entity - Yung pattern","Vision suggests AI visual capabilities",Screenshot_captured
Yungmon,/artist/7cHNAVsi27a0s2WKxETEqB,,"KI Entity - Yung pattern","Yung + monster/gaming reference",Screenshot_captured
Yungnorfas,/artist/5KCTRMuFTiKbTSYCOqBNSU,,"KI Entity - Yung pattern","Complex generated name pattern",Screenshot_captured
yungrezey,/artist/6b4myHAhTWNl2LCZY156qM,,"KI Entity - Yung pattern","Lowercase with complex suffix",Screenshot_captured
Yunnaiv,/artist/4jOJjwRGRBVxaHGG13rVx2,,"KI Entity - Yung variant","Yunn variant instead of Yung",Screenshot_captured
Yustin,/artist/7fQN4u1a8KXKacvFGQIute,,"KI Entity - Name pattern","Y + Justin (male name pattern)",Screenshot_captured
Yung Galaxie,/artist/4g0m1K7aKydTwtARK2w9X3,,"KI Entity - Yung pattern","Galaxie = technological/cosmic reference",Screenshot_captured
yzrn,/artist/2uSiloTm41wETK9VT2FOzQ,,"Potential KI Entity","Shortened/abbreviated name pattern",Screenshot_captured
Z E B,/artist/0xWP0SSg1x2p3ps3VQs10X,,"Potential KI Entity","Letter-based name pattern",Screenshot_captured
Zero,/artist/0BYrysn0QkeNrf62L52PtW,,"KI Entity - Symbolic","Zero symbolizes digital/AI nature",Screenshot_captured
ziRay,/artist/0i87zx9ktfzp8ShcGlzV8D,,"Potential KI Entity","Tech-style name with 'Ray'",Screenshot_captured
Zirie,/artist/5qEsTEDIZtWTPnROkIxpmN,,"Potential KI Entity",Screenshot_captured
,rin,/user/ww7k8tt22ad18fpjl8jubmy63,,"Profile - Potential KI operator","Unusual comma prefix name",Screenshot_captured
1126717711,/user/1126717711,,"Profile - Potential KI operator","Numeric username suggests automation",Screenshot_captured
Dropshoter,/user/21xzcmxl5nvjyzj2khq6n4rza,,"Profile - Potential KI operator","Gaming reference, possible operator",Screenshot_captured
Fruits Music,/user/a902190,,"Profile - Potential KI entity","Generic music profile pattern",Screenshot_captured
FuneralRomance.kys,/user/31ilo2yugyjjvsmbcpogobfo2wlu,,"Profile - Potential KI operator","Dark theme with .kys suffix concerning",Screenshot_captured
Genius Deutschland,/user/31ojrsmchij4turqemt3bbkmi3fq,,"Profile - Potential KI front","Impersonating Genius Deutschland",Screenshot_captured
Justin,/user/31242kli5kxqufhzjbbgnb2vgqhu,,"Profile - Potential operator","Common name as cover identity",Screenshot_captured
Lenergy,/user/lennart.mensch,,"Profile - Potential operator","German name, possible local operator",Screenshot_captured
Lil Keen,/user/4dq2yduu8wubj0qty3vi2jq2a,,"Profile - KI Entity","Duplicate of artist profile, confirmed KI entity",Screenshot_captured
MineFifa,/user/a2rsvhvsms160butx1focdv4p,,"Profile - Potential operator","Gaming reference, possible youth targeting",Screenshot_captured
slatty ᝰ.ᐟ꩜,/user/c6qodwe5tdv7xejh8uuorlivz,,"Profile - Potential KI operator","Unusual Unicode characters, AI-generated appearance",Screenshot_captured
yungmonofficial,/user/yungmonofficial,,"Profile - KI Entity","Official profile for Yungmon artist, confirms connection",Screenshot_captured
